username,isactive,address,type,istypeActive,isDarklist,isActiveDarklist,stakeAmount
baggyterrace,True,0x1a496dF91Fc5321A1f00719De0A7BB4f9Aa9B2DC,powehi,True,True,True,930281736
ominousscarf,True,0x8044683f2e59ecDA78e48a713C2b10d8a1f98d80,powehi,True,True,True,2069758743
stackedjerkin,True,0x06d9f78EceE12146720679c4503691951E7dF43c,powehi,True,True,True,1500000000
bravelunchroom,True,0xCC3EB07A0293ff328a502353647d3d5fC6e8fBa4,halo,True,True,True,178100000
vaudevillefour-year-old,True,0x8DCF0b0A0D003987BBD0246523d9886dd13abbfC,halo,True,True,True,200000000
gravefiveyear,True,0x0383A9816B56f25Ed92dEe546f658526B861483A,halo,True,True,True,200000000
clear-cutalternation,True,0x747aB2F2d688BDa457F8EfBC0B0D486e9e87669a,halo,True,True,True,200000000
archedupheaval,True,0x5B0D8d68ee7C30aE1c183c027Fea8AA808E019dc,powehi,True,True,True,3000000000
selectedbug,True,0xC17e6241f91F8E8F195edccafF3BEADeB27cc62c,powehi,True,True,True,750000000
benignbureau,True,0x3a1a8c6102b00D7e2eC677bD10469e8Ed32241a3,powehi,True,True,True,1332175632
circularmoney,True,0x4Ba7588227230624902f9103aA1aa8DeDDd862DA,halo,True,True,True,250000000
courteousmodifier,True,0x87fdA15b03A1F302Bdc1ED25BC6E9436e25032fA,halo,True,True,True,136730586
contemptiblenuisance,True,0xc76E030cB575DDab2A9208782138310F59093382,powehi,True,True,True,558051051
fortuitousincision,True,0x60e0c36Df17D2753BAb03AFc1c59E34427670e01,powehi,True,True,True,2255000000
alienatedscoreboard,True,0x7Eed832baB21534Bf8437668a3E4e2e82935730f,powehi,True,True,True,500000000
mercantilefirebrand,True,0x61d7ecE32854CaF46c6304Fd536704EacD4dA256,powehi,True,True,True,1196817278
plantedbook,True,0x73068cDcCaE1749314571a532978c15F240D2270,halo,True,True,True,400000000
vainlocket,True,0xA130e06272f28a4Bc99B73A6893fa748C750b353,halo,True,True,True,534000000
physicalliberation,True,0x02278E7633343e04c831E889E042C479Bc2BDebC,halo,True,True,True,401007007
immunesquirrel,True,0xA23957C3BE995fE680749C76eff9a526760dDE36,halo,True,True,True,200000000
physicalrepublican,True,0x6f95D33E515C1aBc98dB3516e302b8FE3c20E56E,powehi,True,True,True,3300000000
divisivegrasshopper,True,0x4D9f2B52810f62f49A362dD75c36fcA2660A5357,halo,True,True,True,293656557
nationwidetaMing,True,0x9C756305714604ceCA4010Ae66653cA10C1BF9Cf,halo,True,True,True,100000000
paradoxicaldroplet,True,0x5E560c3Ce4BC11B26b176da6cD6A16099A649fb1,powehi,True,True,True,1284388909
pendingvigil,True,0x17ce54cb257D027D22Fdae5a1F4bE34FB4B8970b,halo,True,True,True,104000000
strongbiographer,True,0x60D9e022Ba2338aFB69C2e0FaBd3d4C084B65119,powehi,True,True,True,11428091645
disputedstamp,True,0xDdca3F98E711336f8E49c2Fd5e0da65d99621a93,halo,True,True,True,300000000
warpedcompatriot,True,0xA567409077289d674CC726a7fDD9ABaB4F2dEeAF,halo,True,True,True,183038139
bindingshire,True,0x9b1DaDb8D6AFC4a9b5A13B808281C962D468e050,halo,True,True,True,200000000
constructivequestion,True,0xdF31a736B4C85Dc860194b74bB6201a29855699F,halo,True,True,True,280000000
associatedburp,True,0x8c4b072A239350AA0C73B6D8db5219442b877a6d,halo,True,True,True,377835983
readablebunk,True,0x8E92A16A4c93964c11729A839C47C73B1C08E375,halo,True,True,True,89957461
inorganicprivacy,True,0x85670832a6E56e7Dd0D2aC3fDF089531972516C6,powehi,True,True,True,1204568844
crackingvalise,True,0x5226FB987f338956597B62A8096b8AdA60E543AD,powehi,True,True,True,1100000000
expectantaftermath,True,0x2721D28690ACe1045FaBe0A662e2a0f9951eC4eA,halo,True,True,True,397060128
across-the-boardcontinent,True,0xe3a1C447e6cF2Af5fB0e298e794E9ab4683Da205,halo,True,True,True,204376979
smughatter,True,0x0546E092Aa1722F82798a731E036C193671311Db,halo,True,True,True,439650035
conscientioushoarding,True,0x2ffB913beFeC28ba943D15E76Ab5f8d6D9a03896,halo,True,True,True,90000000
promisingdriveway,True,0xAB8Bf583ddFC63273A18D13cE8ffa7211861D8A8,halo,True,False,False,88000000
caringboardroom,True,0x50DEabfCe292E1F229A94483F498aD2Ae444fEA2,halo,True,True,True,113966713
restrictedforage,True,0x595147E8a744a967806D995513B7d6367C107208,halo,True,True,True,119834832
institutionalswagger,True,0xea6f93E30963eC1bfC4721a90Ea619CC77D144BE,halo,True,True,True,105024513
aquaticpsychosis,True,0x3358B21f8016732e79D588bC2A8D2f4162778F6c,halo,True,False,False,87000000
okayperfection,True,0x3739cF6DE9D491E6FA4F136a0F6886577e4bfFFd,halo,True,True,True,90000000
supersonichighball,True,0x8131C9a14Ef3b2927752a9dE573a2dEAaf18E727,powehi,True,True,True,875000000
reflectedastronomer,True,0x635c047141eEC74f5f444870578AD6C6872436F7,halo,True,True,False,172400176
plannedinference,True,0x1e6108990608600F08A431bbd7b3C3AF45f6e449,halo,True,True,True,121512698
lockedformat,True,0xFE65154036bBD13013f8a786b6aeF8023087866E,halo,True,True,True,88000000
sponsoredjuke,True,0x274e6132A3dC4Bc6Ce3068102D981b17768e130F,halo,True,True,True,184688400
concealedpope,True,0xB655F1B96B2B881dfAa166349aBE2cD4bb84b913,powehi,True,True,True,1878909281
daintyfur,True,0x79B1C338bb0B7aEbef82211Cb9d184c0A9C9AAeF,halo,True,True,True,201007007
salientexemption,True,0x53E448227b2a59F7fD034ae0d9F3312505069889,halo,True,True,True,89116156
legitimaterailroad,True,0xe7F5358dbc68c5C2A74b2E4314fa721B7A3F82e5,halo,True,True,False,117315985
characteristicrifle,True,0x3a37E9Dd1dCb7A774B18848Edf38586DE8202b44,powehi,True,True,True,550000000
fluentvariety,True,0xd3F68838cC35493ba21C083950a167418D50CeC4,halo,True,True,False,103809426
creakingharlot,True,0x031403cC1613F625F4D825287ae14077533770E6,powehi,True,True,True,2000000000
exceptionalmosque,True,0x5e1d3C54d8F92a46D0Dc9597bCB85E9085e4FCa8,powehi,True,True,True,10597716973
exceptionalrelocation,True,0xB8A48837132f2921dAA6356Fa9eE028b2De99419,halo,True,True,True,118315730
aromaticjetty,True,0xb8BeA176A8Fe69939718D466c999a0AAb0656a0b,powehi,True,True,True,628757107
wealthytooth,True,0x0112C1C4Afc75aEE6Af171808319deA484C65963,halo,True,True,True,152507625
candidover,True,0x9a25FCDBf80B09658d4bBA0BFE8ad6e68D5c900C,halo,True,True,True,92409499
ever-presentmaximum,True,0xDaCF10A8F4e0B7A182eD303ca6387239e8fe55Cf,halo,True,True,True,218157249
sluggishloner,True,0x803a268a1c22612088A5660ec03b25d488d3271e,powehi,True,True,True,4576807106
strangebedroll,True,0x8fa0955047c2792964c3BdC7D07b065c3Ebc85CF,halo,True,False,False,87000000
darkeningcinema,True,0x1b7518d3B45D22595AdBE9C3C99F75508dc062De,powehi,True,True,True,514148508
unacceptableblotter,True,0xc17cE4D95D49379c75f8B97ab103D13C30aF9C87,powehi,True,True,True,1050000000
horse-drawnairliner,True,0x908b14ECa8099CC08f41A875A855b86a85F2e4C4,halo,True,True,True,87283140
glamorousbilge,True,0x4fd92919bE71DaA2bFB8114cfE283c6255c66fD0,halo,True,True,True,359643487
hardworkinghome,True,0x39e0D379A9A03079914933D9917007F8C3B44a75,powehi,True,True,True,500447003
unfriendlypriority,True,0x2869C2bc6e8f7f6BDA72cdA2446B68753E67Af0E,halo,True,True,True,92451666
navalwinning,True,0x166fb746c336320ADb093A5031e7827ea01df278,halo,True,True,True,150000000
round-tripflourish,True,0x1A75bC1f2A78ee337F248dCA1B9f2F5722d97937,halo,True,True,True,495895253
frenchsealer,True,0x05D32b5956C5E3d57A6F56Df9F2c7D6e1fcB0BE7,halo,True,True,True,399601422
furnishednet,True,0x509b84D62EFAC5C369E18CD68bfC6cd33B83dFEe,halo,True,True,True,260000000
convenientstride,True,0xdFA9f1Dcda9BDE39D735C9840699B306d0c3d752,powehi,True,True,True,1048014632
jumpyattribution,True,0x6C2e40A44C656701B5173Ca5113237a2d544F864,halo,True,True,True,100615195
assertivefoothold,True,0xb8c7fF16648086D4BF299C4fB87C07aA91b41603,powehi,True,True,True,1001000000
well-educatedprivacy,True,0x961aB89dD0A083d41E9d5b87AE213f366F5510A4,halo,True,True,True,401234567
agitatedback-up,True,0x11E25C8EFd86eEaC8bb9Aa3bA891CC32f9e64B7D,halo,True,True,True,300000000
interpersonalvaccination,True,0x403e5DC7e1C12B1B7A8698d5C4042A378fFA71B6,halo,True,True,True,347706756
illustriouscatapult,True,0x019b0EB930c33B3900e5d6e4991B5f791A0E632e,powehi,True,True,True,2000000000
pointlessmortise,True,0x0e328adB26a431f85aABCB65257F7a0428F6640B,halo,True,True,True,102103715
timelesscontact,True,0x04EE9c4D479cee1042fE0D6792CAcBeC3E246888,halo,True,True,True,87396212
conicaldamp,True,0x98eaeA37c5ec6fdA773891f23385080095F16985,halo,True,True,True,150000000
repetitivehuddle,True,0xB2eeb70db0D62307CdbC1442fD4411Fe75Fd3Cf0,halo,True,True,True,125089711
curvingserpent,True,0xB767082357641045CbEa321DcE2FD5f8574fAC28,halo,True,True,True,100000000
complacentgamete,True,0x9dDd524bF0171814229275b3E76BC460F38e88A3,halo,True,True,True,167989619
wiryfirehouse,True,0x2829532830899a2d921364A62fe80e3269E924d2,halo,True,True,True,390065603
four-hourridgeline,True,0xBE39db360dC4b845C725E2F6E6728D2245AE9E77,halo,True,True,True,165000000
bitteralleyway,True,0x7604F163F2DE20042712F5ca648fc85b5D2F2b60,powehi,True,True,False,641235753
repressedtiara,True,0xFc2D8fbE41d2e671e324f1dBf46eB167aF2985fB,halo,True,True,False,541863667
aimlesssteamboat,True,0x0AF32aF1f3f0aC0B36F6a18a833e3eeF250f0888,powehi,True,True,False,513042922
grizzledrouter,True,0x458Cec900E363f8d568dc1Ff758f28Aae92fA73e,powehi,True,True,True,4000000000
mundaneforepaw,True,0xe8dbBa8ac8411Ee9F51FB4A2FEBA1A10243dba84,halo,True,True,False,323844506
grimstew,True,0x7445f6c2478f74bBEbdce5A85Bf9178798A9A781,halo,True,True,True,247435503
mournfuljamb,True,0xffecCa49f44B7a9C4576Ab1Df109b4d15a43833E,halo,True,True,False,286313299
cosmicexertion,True,0x06a440b99924b0935ECF30D1708d1E92056E607c,halo,True,True,True,253799013
magneticeavesdropper,True,0xe53c1ca0EfC8EeCa70fF77eA5c0672BEC02469B3,powehi,True,True,True,1964399444
furrytaboo,True,0x4ec472014A5c3C59182741cBbBB24F97384dD307,halo,True,True,True,87000000
priorfrieze,True,0xde07e190555f2bc82824009DCf1a3BeF5F1De9bC,powehi,True,True,True,501231318
telescopicgamete,True,0x0554319609b5a5451fF893Ba89887C16E1d8ED63,powehi,True,True,True,500000000
soybeanclanking,True,0x164B2145A18577EbD4fF68D91756dCb9Cb32131f,powehi,True,True,True,2086013352
lacylation,True,0x1c66f8A8fa9D34D26b6767cca81E4f0fb8F0692f,powehi,True,True,True,500972960
happynumber,True,0x009E2EF736DE40161d4E617cbb2749552F0f8060,halo,True,True,True,196794071
uphilltick,True,0x024b8DCbF956a7874615B4F6A493fd5fBC2FB04B,powehi,True,True,True,1000000000
unmarriedrave,True,0xD9b1F01710DA84bA31392fF5A279f8B7F49ACD03,halo,True,True,True,87000000
disorientedseaplane,True,0x855AdC1E3339d7a32Ab091b61784265984452269,halo,True,False,False,310000000
income-taxpoetess,True,0x406D3619c9F998fdc73564f3D72a5eb85Be71776,halo,True,True,False,200000000
inquisitivebacterium,True,0xc649a7165ffAEE42eB73840A8Faf6eE4c9441AcC,halo,True,True,True,123000000
architecturalglob,True,0xaE5C50251017Ad218700F875DcE2f20fF783Ce1f,halo,True,True,False,122966197
adamanttoehold,True,0xeB4d60B9863A4b3c18a10FbB7F410dc505720C7B,powehi,True,True,True,5226899648
snarlingsparkle,True,0xe54965f527cdb6e98213d01dee640a54aab6191a,powehi,True,True,True,767347784
painedstitch,True,0xd66E8E3821A9B261b29b992Ab32C07123ECF7F11,halo,True,True,True,400000000
deadlyliberation,True,0x2f883772E5D9d3B0A227e08FF7f76f318D87Ca55,powehi,True,True,True,2363636363
earthenlimousine,True,0x4211eb9929395530D37f3B65B21AA31a0edc655A,halo,True,True,True,100212778
absorbinginvasion,True,0x82bdee47362C2f9244126974E451421054187B12,powehi,True,True,True,1200000000
infantiledisavowal,True,0x7e60F5890637B3194219447eaF6c426a7c66748B,halo,True,True,False,270000000
unrecognizedartificiality,True,0x05c0Eb3FBD3c4E26FeEb57c5b777EcC7Dc1ED69d,halo,True,True,True,200000000
movableadjective,True,0x077C64316c010E617FCFb941534a966e2579C7A8,powehi,True,True,True,19999999999
fondwedding,True,0x190417184a9a19386C29022399D6B291fAC6C92D,powehi,True,False,False,1000000000
perniciouscasket,True,0xCB72C9A1BA946E04B8d4e6AedC864c643635dDF6,halo,True,False,False,100000000
escalatinganthropoid,True,0x0B5658E4Bb125beBcc9a13c9781E7446cB32b657,halo,True,True,True,90782945
white-collarwalleye,True,0x705642f070B954769a0CBA43cCfD6Deb8eE9AeCD,halo,True,True,True,292811541
unsympatheticbaseline,True,0x0F743614aae385786145d7f16e34edd581A1b13A,powehi,True,True,True,1423706971
depressingkingpin,True,0x3A770AC919E2edEB8775D87696a47f5476bd8Af1,powehi,True,True,False,2635000000
meagerapplication,True,0x64Ecd311fc68CEA97b9650efa633a806231f8f31,halo,True,True,True,120000000
unpleasantforeword,True,0xf6FeF22af75D4D60cA01eE1A667216DCdE1B26D4,halo,True,True,False,91000000
flatteredgun,True,0xa7f7c5eb8cba24545f2e0a16a8111fb8cf9f0034,halo,True,True,False,245908674
necessarymerry-go-round,True,0x04046d16f5b1778c8645c3df2e6211260221c44c,halo,True,True,True,200000000
imaginarycyclone,True,0x740560a984d3f8f83f0e7f9be3ae87500bfa3699,halo,True,True,False,90000000
oilykhaki,True,0x093358570c35e2e26af3cb36335538ecb34e91c6,powehi,True,True,False,500000000
formlessdrummer,True,0xa37d936add30991faa17cf89d14f318861f64a47,halo,True,True,False,262142234
sleepingwashboard,True,0x4ed137c0ada31fbc77b44482154e4f1a83f53dfe,halo,True,True,True,200000000
